id,name,slug,collectibles_slug,number,height,weight,featured,detailPageURL,ThumbnailImage,ThumbnailAltText,abilities,type,weakness
41,Zubat,zubat,zubat,0041,0.8,7.5,true,/br/pokedex/zubat,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/041.png,Zubat,Inner Focus,"poison, flying","Electric, Ice, Psychic, Rock"
42,Golbat,golbat,golbat,0042,1.6,55,true,/br/pokedex/golbat,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/042.png,Golbat,Inner Focus,"poison, flying","Electric, Ice, Psychic, Rock"
43,Oddish,oddish,oddish,0043,0.5,5.4,true,/br/pokedex/oddish,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/043.png,Oddish,Chlorophyll,"grass, poison","Fire, Ice, Flying, Psychic"
44,Gloom,gloom,gloom,0044,0.8,8.6,true,/br/pokedex/gloom,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/044.png,Gloom,Chlorophyll,"grass, poison","Fire, Ice, Flying, Psychic"
45,Vileplume,vileplume,vileplume,0045,1.2,18.6,true,/br/pokedex/vileplume,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/045.png,Vileplume,Chlorophyll,"grass, poison","Fire, Ice, Flying, Psychic"
46,Paras,paras,paras,0046,0.3,5.4,true,/br/pokedex/paras,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/046.png,Paras,"Effect Spore, Dry Skin","bug, grass","Fire, Ice, Poison, Flying, Bug, Rock"
47,Parasect,parasect,parasect,0047,1,29.5,true,/br/pokedex/parasect,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/047.png,Parasect,"Effect Spore, Dry Skin","bug, grass","Fire, Ice, Poison, Flying, Bug, Rock"
48,Venonat,venonat,venonat,0048,1,30,true,/br/pokedex/venonat,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/048.png,Venonat,"Compound Eyes, Tinted Lens","bug, poison","Fire, Flying, Psychic, Rock"
49,Venomoth,venomoth,venomoth,0049,1.5,12.5,true,/br/pokedex/venomoth,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/049.png,Venomoth,"Shield Dust, Tinted Lens","bug, poison","Fire, Flying, Psychic, Rock"
50,Diglett,diglett,diglett,0050,0.2,0.8,true,/br/pokedex/diglett,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/050.png,Diglett,"Sand Veil, Arena Trap",ground,"Water, Grass, Ice"
51,Dugtrio,dugtrio,dugtrio,0051,0.7,33.3,true,/br/pokedex/dugtrio,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/051.png,Dugtrio,"Sand Veil, Arena Trap",ground,"Water, Grass, Ice"
52,Meowth,meowth,meowth,0052,0.4,4.2,true,/br/pokedex/meowth,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/052.png,Meowth,"Pickup, Technician",normal,Fighting
53,Persian,persian,persian,0053,1,32,true,/br/pokedex/persian,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/053.png,Persian,"Technician, Limber",normal,Fighting
54,Psyduck,psyduck,psyduck,0054,0.8,19.6,true,/br/pokedex/psyduck,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/054.png,Psyduck,"Damp, Cloud Nine",water,"Grass, Electric"
55,Golduck,golduck,golduck,0055,1.7,76.6,true,/br/pokedex/golduck,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/055.png,Golduck,"Damp, Cloud Nine",water,"Grass, Electric"
56,Mankey,mankey,mankey,0056,0.5,28,true,/br/pokedex/mankey,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/056.png,Mankey,"Vital Spirit, Anger Point",fighting,"Flying, Psychic, Fairy"
57,Primeape,primeape,primeape,0057,1,32,true,/br/pokedex/primeape,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/057.png,Primeape,"Vital Spirit, Anger Point",fighting,"Flying, Psychic, Fairy"
58,Growlithe,growlithe,growlithe,0058,0.7,19,true,/br/pokedex/growlithe,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/058.png,Growlithe,"Intimidate, Flash Fire",fire,"Water, Ground, Rock"
59,Arcanine,arcanine,arcanine,0059,1.9,155,true,/br/pokedex/arcanine,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/059.png,Arcanine,"Intimidate, Flash Fire",fire,"Water, Ground, Rock"
60,Poliwag,poliwag,poliwag,0060,0.6,12.4,true,/br/pokedex/poliwag,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/060.png,Poliwag,"Damp, Water Absorb",water,"Grass, Electric"
61,Poliwhirl,poliwhirl,poliwhirl,0061,1,20,true,/br/pokedex/poliwhirl,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/061.png,Poliwhirl,"Damp, Water Absorb",water,"Grass, Electric"
62,Poliwrath,poliwrath,poliwrath,0062,1.3,54,true,/br/pokedex/poliwrath,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/062.png,Poliwrath,"Damp, Water Absorb","water, fighting","Grass, Electric, Flying, Psychic, Fairy"
63,Abra,abra,abra,0063,0.9,19.5,true,/br/pokedex/abra,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/063.png,Abra,"Inner Focus, Synchronize",psychic,"Bug, Ghost, Dark"
64,Kadabra,kadabra,kadabra,0064,1.3,56.5,true,/br/pokedex/kadabra,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/064.png,Kadabra,"Inner Focus, Synchronize",psychic,"Bug, Ghost, Dark"
65,Alakazam,alakazam,alakazam,0065,1.5,48,true,/br/pokedex/alakazam,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/065.png,Alakazam,"Inner Focus, Synchronize",psychic,"Bug, Ghost, Dark"
66,Machop,machop,machop,0066,0.8,19.5,true,/br/pokedex/machop,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/066.png,Machop,"Guts, No Guard",fighting,"Flying, Psychic, Fairy"
67,Machoke,machoke,machoke,0067,1.5,70.5,true,/br/pokedex/machoke,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/067.png,Machoke,"Guts, No Guard",fighting,"Flying, Psychic, Fairy"
68,Machamp,machamp,machamp,0068,1.6,130,true,/br/pokedex/machamp,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/068.png,Machamp,"Guts, No Guard",fighting,"Flying, Psychic, Fairy"
69,Bellsprout,bellsprout,bellsprout,0069,0.7,4,true,/br/pokedex/bellsprout,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/069.png,Bellsprout,Chlorophyll,"grass, poison","Fire, Ice, Flying, Psychic"
70,Weepinbell,weepinbell,weepinbell,0070,1,6.4,true,/br/pokedex/weepinbell,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/070.png,Weepinbell,Chlorophyll,"grass, poison","Fire, Ice, Flying, Psychic"
71,Victreebel,victreebel,victreebel,0071,1.7,15.5,true,/br/pokedex/victreebel,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/071.png,Victreebel,Chlorophyll,"grass, poison","Fire, Ice, Flying, Psychic"
72,Tentacool,tentacool,tentacool,0072,0.9,45.5,true,/br/pokedex/tentacool,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/072.png,Tentacool,"Clear Body, Liquid Ooze","water, poison","Electric, Ground, Psychic"
73,Tentacruel,tentacruel,tentacruel,0073,1.6,55,true,/br/pokedex/tentacruel,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/073.png,Tentacruel,"Clear Body, Liquid Ooze","water, poison","Electric, Ground, Psychic"
74,Geodude,geodude,geodude,0074,0.4,20,true,/br/pokedex/geodude,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/074.png,Geodude,"Rock Head, Sturdy","rock, ground","Water, Grass, Ice, Fighting, Ground, Steel"
75,Graveler,graveler,graveler,0075,1,105,true,/br/pokedex/graveler,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/075.png,Graveler,"Rock Head, Sturdy","rock, ground","Water, Grass, Ice, Fighting, Ground, Steel"
76,Golem,golem,golem,0076,1.4,300,true,/br/pokedex/golem,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/076.png,Golem,"Rock Head, Sturdy","rock, ground","Water, Grass, Ice, Fighting, Ground, Steel"
77,Ponyta,ponyta,ponyta,0077,1,30,true,/br/pokedex/ponyta,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/077.png,Ponyta,"Run Away, Flash Fire",fire,"Water, Ground, Rock"
78,Rapidash,rapidash,rapidash,0078,1.7,95,true,/br/pokedex/rapidash,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/078.png,Rapidash,"Run Away, Flash Fire",fire,"Water, Ground, Rock"
79,Slowpoke,slowpoke,slowpoke,0079,1.2,36,true,/br/pokedex/slowpoke,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/079.png,Slowpoke,"Oblivious, Own Tempo","water, psychic","Grass, Electric, Bug, Ghost, Dark"
80,Slowbro,slowbro,slowbro,0080,1.6,78.5,true,/br/pokedex/slowbro,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/080.png,Slowbro,"Oblivious, Own Tempo","water, psychic","Grass, Electric, Bug, Ghost, Dark"
81,Magnemite,magnemite,magnemite,0081,0.3,6,true,/br/pokedex/magnemite,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/081.png,Magnemite,"Sturdy, Magnet Pull","electric, steel","Fire, Fighting, Ground"
82,Magneton,magneton,magneton,0082,1,60,true,/br/pokedex/magneton,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/082.png,Magneton,"Sturdy, Magnet Pull","electric, steel","Fire, Fighting, Ground"
83,Farfetch’d,farfetchd,farfetchd,0083,0.8,15,true,/br/pokedex/farfetchd,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/083.png,Farfetch’d,"Keen Eye, Inner Focus","normal, flying","Electric, Ice, Rock"
84,Doduo,doduo,doduo,0084,1.4,39.2,true,/br/pokedex/doduo,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/084.png,Doduo,"Run Away, Early Bird","normal, flying","Electric, Ice, Rock"
85,Dodrio,dodrio,dodrio,0085,1.8,85.2,true,/br/pokedex/dodrio,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/085.png,Dodrio,"Run Away, Early Bird","normal, flying","Electric, Ice, Rock"
86,Seel,seel,seel,0086,1.1,90,true,/br/pokedex/seel,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/086.png,Seel,"Thick Fat, Hydration",water,"Grass, Electric"
87,Dewgong,dewgong,dewgong,0087,1.7,120,true,/br/pokedex/dewgong,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/087.png,Dewgong,"Thick Fat, Hydration","water, ice","Grass, Electric, Fighting, Rock"
88,Grimer,grimer,grimer,0088,0.9,30,true,/br/pokedex/grimer,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/088.png,Grimer,"Stench, Sticky Hold",poison,"Ground, Psychic"
89,Muk,muk,muk,0089,1.2,30,true,/br/pokedex/muk,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/089.png,Muk,"Stench, Sticky Hold",poison,"Ground, Psychic"
90,Shellder,shellder,shellder,0090,0.3,4,true,/br/pokedex/shellder,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/090.png,Shellder,"Shell Armor, Skill Link",water,"Grass, Electric"
91,Cloyster,cloyster,cloyster,0091,1.5,132.5,true,/br/pokedex/cloyster,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/091.png,Cloyster,"Shell Armor, Skill Link","water, ice","Grass, Electric, Fighting, Rock"
92,Gastly,gastly,gastly,0092,1.3,0.1,true,/br/pokedex/gastly,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/092.png,Gastly,Levitate,"ghost, poison","Ground, Psychic, Ghost, Dark"
93,Haunter,haunter,haunter,0093,1.6,0.1,true,/br/pokedex/haunter,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/093.png,Haunter,Levitate,"ghost, poison","Ground, Psychic, Ghost, Dark"
94,Gengar,gengar,gengar,0094,1.5,40.5,true,/br/pokedex/gengar,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/094.png,Gengar,Cursed Body,"ghost, poison","Ground, Psychic, Ghost, Dark"
95,Onix,onix,onix,0095,8.8,210,true,/br/pokedex/onix,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/095.png,Onix,"Rock Head, Sturdy","rock, ground","Water, Grass, Ice, Fighting, Ground, Steel"
96,Drowzee,drowzee,drowzee,0096,1,32.4,true,/br/pokedex/drowzee,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/096.png,Drowzee,"Insomnia, Forewarn",psychic,"Bug, Ghost, Dark"
97,Hypno,hypno,hypno,0097,1.6,75.6,true,/br/pokedex/hypno,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/097.png,Hypno,"Insomnia, Forewarn",psychic,"Bug, Ghost, Dark"
98,Krabby,krabby,krabby,0098,0.4,6.5,true,/br/pokedex/krabby,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/098.png,Krabby,"Shell Armor, Hyper Cutter",water,"Grass, Electric"
99,Kingler,kingler,kingler,0099,1.3,60,true,/br/pokedex/kingler,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/099.png,Kingler,"Shell Armor, Hyper Cutter",water,"Grass, Electric"
100,Voltorb,voltorb,voltorb,0100,0.5,10.4,true,/br/pokedex/voltorb,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/100.png,Voltorb,"Static, Soundproof",electric,Ground
101,Electrode,electrode,electrode,0101,1.2,66.6,true,/br/pokedex/electrode,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/101.png,Electrode,"Static, Soundproof",electric,Ground
102,Exeggcute,exeggcute,exeggcute,0102,0.4,2.5,true,/br/pokedex/exeggcute,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/102.png,Exeggcute,Chlorophyll,"grass, psychic","Fire, Ice, Poison, Flying, Bug, Ghost, Dark"
103,Exeggutor,exeggutor,exeggutor,0103,2,120,true,/br/pokedex/exeggutor,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/103.png,Exeggutor,Chlorophyll,"grass, psychic","Fire, Ice, Poison, Flying, Bug, Ghost, Dark"
104,Cubone,cubone,cubone,0104,0.4,6.5,true,/br/pokedex/cubone,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/104.png,Cubone,"Rock Head, Lightning Rod",ground,"Water, Grass, Ice"
105,Marowak,marowak,marowak,0105,1,45,true,/br/pokedex/marowak,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/105.png,Marowak,"Rock Head, Lightning Rod",ground,"Water, Grass, Ice"
106,Hitmonlee,hitmonlee,hitmonlee,0106,1.5,49.8,true,/br/pokedex/hitmonlee,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/106.png,Hitmonlee,"Limber, Reckless",fighting,"Flying, Psychic, Fairy"
107,Hitmonchan,hitmonchan,hitmonchan,0107,1.4,50.2,true,/br/pokedex/hitmonchan,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/107.png,Hitmonchan,"Keen Eye, Iron Fist",fighting,"Flying, Psychic, Fairy"
108,Lickitung,lickitung,lickitung,0108,1.2,65.5,true,/br/pokedex/lickitung,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/108.png,Lickitung,"Oblivious, Own Tempo",normal,Fighting
109,Koffing,koffing,koffing,0109,0.6,1,true,/br/pokedex/koffing,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/109.png,Koffing,"Levitate, Neutralizing Gas",poison,"Ground, Psychic"
110,Weezing,weezing,weezing,0110,1.2,9.5,true,/br/pokedex/weezing,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/110.png,Weezing,"Levitate, Neutralizing Gas",poison,"Ground, Psychic"
111,Rhyhorn,rhyhorn,rhyhorn,0111,1,115,true,/br/pokedex/rhyhorn,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/111.png,Rhyhorn,"Rock Head, Lightning Rod","ground, rock","Water, Grass, Ice, Fighting, Ground, Steel"
112,Rhydon,rhydon,rhydon,0112,1.9,120,true,/br/pokedex/rhydon,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/112.png,Rhydon,"Rock Head, Lightning Rod","ground, rock","Water, Grass, Ice, Fighting, Ground, Steel"
113,Chansey,chansey,chansey,0113,1.1,34.6,true,/br/pokedex/chansey,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/113.png,Chansey,"Natural Cure, Serene Grace",normal,Fighting
114,Tangela,tangela,tangela,0114,1,35,true,/br/pokedex/tangela,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/114.png,Tangela,"Chlorophyll, Leaf Guard",grass,"Fire, Ice, Poison, Flying, Bug"
115,Kangaskhan,kangaskhan,kangaskhan,0115,2.2,80,true,/br/pokedex/kangaskhan,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/115.png,Kangaskhan,"Early Bird, Scrappy",normal,Fighting
116,Horsea,horsea,horsea,0116,0.4,8,true,/br/pokedex/horsea,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/116.png,Horsea,"Swift Swim, Sniper",water,"Grass, Electric"
117,Seadra,seadra,seadra,0117,1.2,25,true,/br/pokedex/seadra,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/117.png,Seadra,"Poison Point, Sniper",water,"Grass, Electric"
118,Goldeen,goldeen,goldeen,0118,0.6,15,true,/br/pokedex/goldeen,https://www.pokemon.com/static-assets/content-assets/cms2/img/pokedex/detail/118.png,Goldeen,"Swift Swim, Water Veil",water,"Grass, Electric"
